Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
5.382920415906491,-0.10952642380834497,0.8141064068884509,0,-0.32231271979570547,-0.17053673359695196,0
5.392707305731746,-0.11269378262310478,0.8124371778452881,0,-0.32494760700670233,-0.17057891195474806,0
5.402432951052596,-0.11586671124334284,0.8107779764167776,0,-0.32753404153750115,-0.17062269267524566,0
5.412098903503319,-0.11904493373764512,0.8091285282441705,0,-0.3300724239078816,-0.1706679415051245,0
5.421706704048144,-0.12222819505106453,0.8074885621915536,0,-0.33256315343854737,-0.17071451513828845,0
5.431257883153233,-0.12541626040346912,0.8058578103570799,0,-0.33500662772005696,-0.1707622616648462,0
5.440753971835702,-0.12860891836659583,0.804236006221957,0,-0.33740324482662637,-0.17081102104704696,0
5.450196464738157,-0.13180596780384665,0.8026228909894096,0,-0.33975339346334826,-0.170860625318898,0
5.459586837988447,-0.1350072230383487,0.8010182105681442,0,-0.34205745725943104,-0.1709108990299949,0
5.468926542548609,-0.1382125108482871,0.7994217167383948,0,-0.34431581283089097,-0.1709616595429391,0
5.478217016497547,-0.14142167394744662,0.7978331650799515,0,-0.34652883248879296,-0.17101271740944995,0
5.487459657205551,-0.14463456065693958,0.7962523197557375,0,-0.3486968773721893,-0.17106387650557156,0
5.496655841362484,-0.14785103101920952,0.7946789501140351,0,-0.35082030217897503,-0.17111493440832867,0
5.505806923172559,-0.1510709554842208,0.7931128310205934,0,-0.35289945456525257,-0.1711656826368499,0
5.514914221997414,-0.15429420984233744,0.7915537449970454,0,-0.35493467227152764,-0.1712159068179284,0
5.523979029870407,-0.15752067711716078,0.7900014809591319,0,-0.3569262848820319,-0.17126538694821059,0
5.533002607221737,-0.1607502453384201,0.7884558349718115,0,-0.3588746129191166,-0.1713138975791892,0
5.541986195712833,-0.1639828114566822,0.7869166080733763,0,-0.36077997065745043,-0.17136120808274458,0
5.550931002040612,-0.16721827489456983,0.7853836090716959,0,-0.36264266267813566,-0.17140708274987793,0
5.5598382263622925,-0.17045654719595418,0.7838566496945828,0,-0.3644629898534379,-0.17145128111158336,0
5.5687090127342085,-0.1736975334392466,0.7823355531068078,0,-0.36624123920977425,-0.1714935578560362,0
5.577544510461403,-0.17694115395151258,0.7808201434147888,0,-0.3679776965562317,-0.17153366329138106,0
5.586345825099427,-0.18018732588936345,0.7793102540890257,0,-0.3696726366545411,-0.17157134325872817,0
5.5951140470846195,-0.18343597315626148,0.777805723076606,0,-0.37132632905718016,-0.17160633941305403,0
5.603850232843911,-0.18668701890199055,0.7763063960639971,0,-0.3729390346059356,-0.17163838928446495,0
5.612555438927105,-0.1899403977110718,0.7748121206415426,0,-0.37451101187112346,-0.1716672265391295,0
5.621230686816662,-0.1931960420576709,0.7733227523646751,0,-0.37604251068494265,-0.17169258097086035,0
5.629876973223694,-0.1964538856184927,0.7718381530106168,0,-0.3775337742974983,-0.17171417867511574,0
5.638495289093301,-0.19971386999752694,0.7703581873379478,0,-0.37898504274923583,-0.1717317422139609,0
5.647086589890143,-0.20297593309407352,0.76888272821217,0,-0.3803965478873724,-0.1717449906603734,0
5.655651828522057,-0.20624002114317508,0.7674116509758708,0,-0.3817685190327633,-0.17175363977738678,0
5.664191937703984,-0.2095060816711631,0.7659448365014467,0,-0.3831011800621761,-0.17175740208182785,0
5.672707828159583,-0.21277406240409166,0.7644821715251106,0,-0.38439474931273826,-0.17175598695701405,0
5.681200401059444,-0.2160439156651577,0.7630235465360261,0,-0.38564944161838827,-0.1717491007572493,0
5.689670543947818,-0.21931559648830062,0.7615688565021133,0,-0.38686546771160707,-0.17173644689314843,0
5.698119120786146,-0.22258905842598398,0.760118002606776,0,-0.3880430329302976,-0.17171772594649812,0
5.706546995065786,-0.2258642621670923,0.7586708883071623,0,-0.3891823405873536,-0.17169263571941507,0
5.714955005623489,-0.22914116586208869,0.7572274235156583,0,-0.3902835886728652,-0.17166087137358643,0
5.723343970782094,-0.23241972637951486,0.7557875239165442,0,-0.39134697070756813,-0.17162212554371956,0
5.73171472026665,-0.23569991150067726,0.7543511055176682,0,-0.3923726798469264,-0.1715760882706973,0
5.740068057386448,-0.23898168488485333,0.7529180911731285,0,-0.3933609040819785,-0.17152244724079976,0
5.74840477199995,-0.24226501083703858,0.7514884083881378,0,-0.39431182809367527,-0.17146088783439084,0
5.756725655463576,-0.24554985994604464,0.7500619867882717,0,-0.3952256350001421,-0.17139109308744158,0
5.765031480667569,-0.2488362009800425,0.7486387615771978,0,-0.3961025041190685,-0.17131274390822082,0
5.773323018687391,-0.2521240072153573,0.7472186707167794,0,-0.3969426128784451,-0.1712255190148691,0
5.78160101896543,-0.2554132483504932,0.7458016583575098,0,-0.3977461348473488,-0.17112909521072212,0
5.789866231078401,-0.25870389890285617,0.7443876711461401,0,-0.3985132420506101,-0.17102314723995787,0
5.798119395714369,-0.2619959344203312,0.7429766598097521,0,-0.3992441040731691,-0.17090734794279117,0
5.806361250613867,-0.2652893336403737,0.7415685781795776,0,-0.3999388886306559,-0.1707813682375637,0
5.8145925225693,-0.2685840750928778,0.7401633845995524,0,-0.40059776090803006,-0.17064487729849862,0
5.8228139368353755,-0.27188014066091337,0.7387610403609595,0,-0.40122088439082904,-0.17049754247362062,0
5.83102619812756,-0.2751775077648633,0.7373615129860619,0,-0.40180841948963186,-0.17033902969614442,0
5.839230021772681,-0.27847616166423383,0.7359647709599211,0,-0.4023605259226529,-0.17016900298329898,0
5.84742610955506,-0.2817760855865962,0.7345707878958092,0,-0.4028773609401342,-0.16998712493678297,0
5.855615156899372,-0.28507726342163053,0.7331795413557803,0,-0.403359079945254,-0.16979305668959363,0
5.8637978692436805,-0.2883796861531863,0.7317910101212767,0,-0.40380583741932113,-0.16958645755296797,0
5.8719749318260375,-0.2916833395046728,0.7304051793764125,0,-0.4042177851884418,-0.16936698579585258,0
5.880147027954629,-0.2949882111276594,0.729022037652957,0,-0.40459507359541774,-0.16913429829637305,0
5.8883148517839246,-0.2982942956144503,0.7276415747282886,0,-0.4049378519946784,-0.16888805018978156,0
5.896479077807087,-0.3016015819953527,0.7262637868438307,0,-0.4052462673861639,-0.16862789580113066,0
5.904640385542996,-0.3049100635633841,0.7248886725854724,0,-0.4055204655588029,-0.16835348799169755,0
5.912799454264724,-0.30821973558930066,0.7235162338396467,0,-0.4057605907992298,-0.16806447833687618,0
5.920956963582743,-0.3115305954050404,0.7221464757607924,0,-0.40596678587274293,-0.16776051713674947,0
5.929113579685871,-0.31484263666364315,0.7207794091434673,0,-0.40613919172040364,-0.1674412539960632,0
5.937269975942024,-0.31815585754789477,0.7194150470272593,0,-0.40627794801403005,-0.16710633712097755,0
5.945426830910703,-0.32147025981997585,0.7180534051106784,0,-0.4063831929598435,-0.16675541337472435,0
5.953584815648466,-0.3247858435154513,0.7166945039459696,0,-0.4064550630837943,-0.16638812884760162,0
5.961744605135887,-0.3281026114377178,0.7153383671037757,0,-0.4064936933968246,-0.16600412842255818,0
5.9699068653258776,-0.33142056374743334,0.7139850234026504,0,-0.40649921731688554,-0.16560305642713874,0
5.9780722778254605,-0.33473970784984525,0.7126345028926424,0,-0.40647176670623153,-0.16518455548240066,0
5.986241510438633,-0.3380600462757549,0.7112868418224226,0,-0.4064114718235694,-0.1647482679883108,0
5.99441525092584,-0.34138159025809156,0.709942077146223,0,-0.40631846114360376,-0.1642938344091394,0
6.002594180100283,-0.34470434864967303,0.7086002510627,0,-0.4061928614234756,-0.16382089469096633,0
6.010778975619462,-0.3480283293208926,0.7072614104685768,0,-0.40603479776195,-0.16332908816063132,0
6.018970324824181,-0.35135354422916226,0.7059256049508814,0,-0.40584439334175576,-0.16281805280461334,0
6.027168919846662,-0.3546800072815276,0.7045928876986248,0,-0.40562176938903943,-0.16228742554093065,0
6.035375451192321,-0.3580077315822112,0.7032633166500158,0,-0.4053670453026357,-0.16173684266460714,0
6.043590606710429,-0.3613367288726786,0.7019369547526243,0,-0.40508033873710453,-0.16116594000751355,0
6.0518150928677965,-0.3646670180027346,0.700613866640063,0,-0.40476176480434845,-0.1605743514874275,0
6.060049619328546,-0.36799861851958854,0.6992941212575764,0,-0.40441143642216937,-0.1599617101220091,0
6.068294891885705,-0.37133154765865767,0.6979777931061321,0,-0.40402946461803907,-0.15932764861934634,0
6.076551629200077,-0.3746658269602827,0.6966649596841515,0,-0.4036159577577102,-0.15867179815944088,0
6.084820563136819,-0.37800148223153507,0.6953557015894406,0,-0.4031710213137015,-0.157993788290737,0
6.093102413097312,-0.3813385330299348,0.6940501067190921,0,-0.40269475917632286,-0.15729324905558822,0
